SUBJECT,FLOOR,AISLE,ROOM/DESCRIPTION,KEYWORDS
Diabetes,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Diagnostics,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Dialysis,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Diaries/Journals,4,50,,"Planner, Calendar,"
Dictionaries,2,1,,"Reference, Writing,"
Dictionaries (P.B.),3,L,,"Paperback, Paper Back, Reference, Writing"
Diet,1,-,Room 3,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Diet (P.B.),3,C,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare, Paperback, Paper Back"
Digital Media,2,21,,"Advertising, Typography, Printing, Digital Media,"
Dinosaurs,2,6,,"Paleontology, Fossils, Animals, Prehistoric,"
Disabilities,4,8-9,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Disasters (P.B.),3,M,,"Disaster, Disasters, Paperback, Paper Back"
Discography,1,Case U,Room 4,"Music,"
Discovery/Exploration (America),2,48,,
Discovery/Exploration (Lewis & Clark),2,58,,
Discovery/Exploration (Spain),2,58,,
Divorce,4,5,,
Dogs,4,40,,"Pets, Animals,"
Dominican Republic,4,55,,"Countries, Country, "
Downs Syndrome,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
"Draft, The (P.B.)",3,B,,"Paperback, Paper Back"
Dreams/Dream Interpretation,2,Center,East Side,Occult
Drug Reference,2,76,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Drugs (By Name),2,69,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Drugs & Alcohol,2,69,,
Drugs & Society,2,69,,
Dungeons & Dragons (D&D),3,Center,"Front of Floor, Square Stand-Alone Shelf","D&D, Role Playing, Science Fiction, Sci-Fi, Fantasy"
E.R.,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
"Ears, Nose, Throat",2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Earth Science,2,3,,"Science,"
Earthquakes,2,10,,"Disaster, Disasters"
Easter/Lent,4,73,,"Religion, Holidays"
Eastern Europe,2,64,,"Counties, Region,"
Eastern Orthodox,4,73,,"Religion,"
Eastern Philosophy,2,12,,"Religion,"
Eastern Philosophy (P.B.),3,G,,"Religion, Paperback, Paper Back"
Eastern Thought,2,12,,Religion
Eating Disorders,2,69,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Ecology,2,34,,"Science,"
Economics,4,47-48,,
Economics (P.B.),3,K,,"Paperback, Paper Back"
Edmund Wilson (P.B.),3,N,,"Paperback, Paper Back"
Education (P.B.),3,H,,"Paperback, Paper Back"
Egypt,1,1, Room 3C,"Countries, Country, Africa"
Egypt (P.B.),3,F,,"Paperback, Paper Back"
Einstein,2,30,,"Science, Physics"
El Salvador,4,55,,"COuntries, Country, South America"
Electrical,2,19,,"Home Improvement, Technology, Tech, Engineering, "
Electronics & Electricity,2,19,,"Home Improvement, Technology, Tech, Engineering, "
Elite Forces (P.B.),3,B,,"Paperback, Paper Back, Military, Army, War,"
Endocrinology ,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Energy,2,20,,"Oil, Petroleum, Solar, Nuclear, Power,"
Engineering/Technology,2,17-20,,"Home Improvement, Technology, Tech, Engineering, "
Engines,2,18,,"Home Improvement, Technology, Tech, Engineering, "
Engraving,1,1,Room 2B,Art
Environment (P.B.),3,K,,"Paperback, Paper Back"
Environment (P.B),3,K,,"Paperback, Paper Back"
Environmental Studies,2,34,,"Pollution, Ecology, Waste, Sanitation, Urban Planning,"
Epidemiology,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Epilepsy/Stroke,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Equality,4,12,,
ESL,4,75,,"Language, Foreign, English,"
Espionage (P.B.),3,B,,"Paperback, Paper Back, Spy, Spying, Spies, Military, Army, War,"
Espionage/Cryptography,2,26,,"Paperback, Paper Back, Spy, Spying, Spies, Military, Army, War,"
Etiquette ,4,39,,
Eucharist ,4,71,,"Religion,"
"Europe, By Country",2,"58-59, 61-64",,"Region, Country, Countries, Continent, World"
European History,2,64,,"Region, Country, Countries, Continent, World, History"
Euthanasia,4,10,,
Evolution,2,9,,"Science, Darwin, Genetics"
Exploration ,2,58,,"Discovery, Lewis & Clark,"
